file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet011_A-Strepsiptera_B-Meloe_C-Drosophila_D-Sawfly.phy	K2P	-2252.69	(A:0.1690756202,B:0.0233697531,(C:0.1248146037,D:0.0221333081):0.0061249970);	0.1690756202	0.0233697531	0.1248146037	0.0221333081	0.0061249970	-2246.0681719523	(A:0.1522729624,C:0.1060549591,(B:0.0272422631,D:0.0236874600):0.0229828935);	0.1522729624	0.1060549591	0.0272422631	0.0236874600	0.0229828935	-2246.4994643252	(A:0.1668642301,D:0.0159031522,(B:0.0207030079,C:0.1222863241):0.0150865084);	0.1668642301	0.0159031522	0.0207030079	0.1222863241	0.0150865084
quartet012_A-Strepsiptera_B-Meloe_C-Drosophila_D-Polistes.phy	K2P	-2252.04	(A:0.1695493864,B:0.0236294218,(C:0.1187461607,D:0.0198598108):0.0109628324);	0.1695493864	0.0236294218	0.1187461607	0.0198598108	0.0109628324	-2248.0675146987	(A:0.1554792891,C:0.1008220465,(B:0.0313799995,D:0.0222789320):0.0223946825);	0.1554792891	0.1008220465	0.0313799995	0.0222789320	0.0223946825	-2252.9734739548	(A:0.1719316318,D:0.0176762438,(B:0.0270368712,C:0.1181539654):0.0099227297);	0.1719316318	0.0176762438	0.0270368712	0.1181539654	0.0099227297
quartet013_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Flea.phy	K2P	-2409.55	(A:0.1746872064,B:0.0136966289,(C:0.2131303623,D:0.0215206246):0.0115334710);	0.1746872064	0.0136966289	0.2131303623	0.0215206246	0.0115334710	-2395.6879932670	(A:0.1369507343,C:0.1803979926,(B:0.0176541453,D:0.0282248100):0.0417598895);	0.1369507343	0.1803979926	0.0176541453	0.0282248100	0.0417598895	-2413.0353592930	(A:0.1740641954,D:0.0258563104,(B:0.0153673439,C:0.2163474967):0.0056240717);	0.1740641954	0.0258563104	0.0153673439	0.2163474967	0.0056240717
quartet014_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Scorpionfly.phy	K2P	-2428.88	(A:0.1709276289,B:0.0187491060,(C:0.2147775261,D:0.0271886518):0.0089665807);	0.1709276289	0.0187491060	0.2147775261	0.0271886518	0.0089665807	-2413.4602766797	(A:0.1348142822,C:0.1824625957,(B:0.0212994470,D:0.0323017827):0.0398375624);	0.1348142822	0.1824625957	0.0212994470	0.0323017827	0.0398375624	-2428.4983616796	(A:0.1690992083,D:0.0281156187,(B:0.0169736170,C:0.2159151317):0.0096918636);	0.1690992083	0.0281156187	0.0169736170	0.2159151317	0.0096918636
quartet015_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Lacewing.phy	K2P	-2377.29	(A:0.1759234284,B:0.0125196752,(C:0.2204263056,D:0.0159680152):0.0065365709);	0.1759234284	0.0125196752	0.2204263056	0.0159680152	0.0065365709	-2359.6397117696	(A:0.1352957648,C:0.1837493176,(B:0.0143855404,D:0.0200673257):0.0442693837);	0.1352957648	0.1837493176	0.0143855404	0.0200673257	0.0442693837	-2377.0379225561	(A:0.1747376647,D:0.0170171007,(B:0.0099150427,C:0.2217519014):0.0080369431);	0.1747376647	0.0170171007	0.0099150427	0.2217519014	0.0080369431
quartet016_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Antlion.phy	K2P	-2396.48	(A:0.1751992234,B:0.0130184679,(C:0.2187227454,D:0.0199166121):0.0084655126);	0.1751992234	0.0130184679	0.2187227454	0.0199166121	0.0084655126	-2380.0120082680	(A:0.1350983149,C:0.1835151136,(B:0.0150042924,D:0.0257150470):0.0438989652);	0.1350983149	0.1835151136	0.0150042924	0.0257150470	0.0438989652	-2397.7216305892	(A:0.1739235493,D:0.0226993976,(B:0.0107981226,C:0.2216484439):0.0079004154);	0.1739235493	0.0226993976	0.0107981226	0.2216484439	0.0079004154
quartet017_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Sawfly.phy	K2P	-2358.26	(A:0.1736945348,B:0.0142053703,(C:0.2228989137,D:0.0127849858):0.0029130833);	0.1736945348	0.0142053703	0.2228989137	0.0127849858	0.0029130833	-2340.0655702246	(A:0.1340247775,C:0.1858325303,(B:0.0152669841,D:0.0142390613):0.0428770614);	0.1340247775	0.1858325303	0.0152669841	0.0142390613	0.0428770614	-2355.3016258668	(A:0.1725889699,D:0.0107179247,(B:0.0096880208,C:0.2215530340):0.0094116799);	0.1725889699	0.0107179247	0.0096880208	0.2215530340	0.0094116799
quartet018_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Polistes.phy	K2P	-2385.22	(A:0.1730033049,B:0.0161383124,(C:0.2171401951,D:0.0142018652):0.0097711189);	0.1730033049	0.0161383124	0.2171401951	0.0142018652	0.0097711189	-2370.4325855634	(A:0.1359586502,C:0.1830301797,(B:0.0196919313,D:0.0199329845):0.0418279240);	0.1359586502	0.1830301797	0.0196919313	0.0199329845	0.0418279240	-2386.7472262213	(A:0.1736619521,D:0.0171457307,(B:0.0150093723,C:0.2185388723):0.0080710168);	0.1736619521	0.0171457307	0.0150093723	0.2185388723	0.0080710168
quartet019_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Flea.phy	K2P	-2253.61	(A:0.1739859968,B:0.0158768108,(C:0.1296083296,D:0.0182628437):0.0123868046);	0.1739859968	0.0158768108	0.1296083296	0.0182628437	0.0123868046	-2244.7190943330	(A:0.1503381108,C:0.1038485595,(B:0.0235558985,D:0.0221470510):0.0306926933);	0.1503381108	0.1038485595	0.0235558985	0.0221470510	0.0306926933	-2258.7747389844	(A:0.1764659284,D:0.0218365893,(B:0.0231103259,C:0.1315208929):0.0015110554);	0.1764659284	0.0218365893	0.0231103259	0.1315208929	0.0015110554
quartet020_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Scorpionfly.phy	K2P	-2261.58	(A:0.1700855764,B:0.0209513829,(C:0.1246942517,D:0.0164568835):0.0174468083);	0.1700855764	0.0209513829	0.1246942517	0.0164568835	0.0174468083	-2257.0930542128	(A:0.1515535959,C:0.1018981026,(B:0.0318463289,D:0.0216676429):0.0278942410);	0.1515535959	0.1018981026	0.0318463289	0.0216676429	0.0278942410	-2268.6465559473	(A:0.1740957653,D:0.0204689672,(B:0.0303028583,C:0.1257621699):0.0040925344);	0.1740957653	0.0204689672	0.0303028583	0.1257621699	0.0040925344
quartet021_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Lacewing.phy	K2P	-2219.7	(A:0.1752398806,B:0.0146053101,(C:0.1346802228,D:0.0108441105):0.0092036101);	0.1752398806	0.0146053101	0.1346802228	0.0108441105	0.0092036101	-2208.7482913654	(A:0.1497948126,C:0.1062451378,(B:0.0208905801,D:0.0134154342):0.0328180873);	0.1497948126	0.1062451378	0.0208905801	0.0134154342	0.0328180873	-2223.4837222474	(A:0.1779978935,D:0.0124008052,(B:0.0194218079,C:0.1352770613):0.0028824504);	0.1779978935	0.0124008052	0.0194218079	0.1352770613	0.0028824504
quartet022_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Antlion.phy	K2P	-2238.85	(A:0.1745274389,B:0.0151038660,(C:0.1331055122,D:0.0142939089):0.0117095077);	0.1745274389	0.0151038660	0.1331055122	0.0142939089	0.0117095077	-2229.4803726625	(A:0.1498453002,C:0.1057306706,(B:0.0222256710,D:0.0183646892):0.0324574852);	0.1498453002	0.1057306706	0.0222256710	0.0183646892	0.0324574852	-2244.2673640073	(A:0.1775807633,D:0.0176457839,(B:0.0210853155,C:0.1348212843):0.0024600827);	0.1775807633	0.0176457839	0.0210853155	0.1348212843	0.0024600827
quartet023_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Sawfly.phy	K2P	-2205.22	(A:0.1735753256,B:0.0159065567,(C:0.1385707162,D:0.0082995310):0.0054645752);	0.1735753256	0.0159065567	0.1385707162	0.0082995310	0.0054645752	-2192.7445995033	(A:0.1479649338,C:0.1103017275,(B:0.0197460204,D:0.0096566606):0.0322919891);	0.1479649338	0.1103017275	0.0197460204	0.0096566606	0.0322919891	-2204.9746457178	(A:0.1750216698,D:0.0073399479,(B:0.0165832144,C:0.1371007351):0.0057222662);	0.1750216698	0.0073399479	0.0165832144	0.1371007351	0.0057222662
quartet024_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Polistes.phy	K2P	-2222.96	(A:0.1717690096,B:0.0185973055,(C:0.1300499533,D:0.0088145709):0.0125227645);	0.1717690096	0.0185973055	0.1300499533	0.0088145709	0.0125227645	-2215.9446556698	(A:0.1520153419,C:0.1044472443,(B:0.0274706639,D:0.0120444099):0.0295238267);	0.1520153419	0.1044472443	0.0274706639	0.0120444099	0.0295238267	-2228.9847234200	(A:0.1775355238,D:0.0120242051,(B:0.0266802246,C:0.1310579504):0.0013385397);	0.1775355238	0.0120242051	0.0266802246	0.1310579504	0.0013385397
