file	model	lh_fel	tree_fel	blA_fel	blB_fel	blC_fel	blD_fel	blM_fel	lh_far	tree_far	blA_far	blC_far	blB_far	blD_far	blM_far	lh_oth	tree_oth	blA_oth	blD_oth	blB_oth	blC_oth	blM_oth
quartet011_A-Strepsiptera_B-Meloe_C-Drosophila_D-Sawfly.phy	JC+G	-2231.18	"(A:0.2488697631,B:0.0242034598,(C:0.1611327071,D:0.0271445898):0.0031630698);"	0.2488697631	0.0242034598	0.1611327071	0.0271445898	0.0031630698	-2231.2773976632	"(A:0.2484419618,C:0.1606564141,(B:0.0267234040,D:0.0277313865):0.0012233278);"	0.2484419618	0.1606564141	0.0267234040	0.0277313865	0.0012233278	-2228.9681496991	"(A:0.2402128774,D:0.0166943009,(B:0.0212865035,C:0.1575794497):0.0162333440);"	0.2402128774	0.0166943009	0.0212865035	0.1575794497	0.0162333440
quartet012_A-Strepsiptera_B-Meloe_C-Drosophila_D-Polistes.phy	JC+G	-2232.2	"(A:0.2503099523,B:0.0231015040,(C:0.1511575898,D:0.0232095895):0.0113529630);"	0.2503099523	0.0231015040	0.1511575898	0.0232095895	0.0113529630	-2233.2150309588	"(A:0.2544047138,C:0.1519728197,(B:0.0325293027,D:0.0251905601):0.0012430811);"	0.2544047138	0.1519728197	0.0325293027	0.0251905601	0.0012430811	-2232.8104130764	"(A:0.2527316393,D:0.0205754670,(B:0.0302337522,C:0.1513064778):0.0069262411);"	0.2527316393	0.0205754670	0.0302337522	0.1513064778	0.0069262411
quartet013_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Flea.phy	JC+G	-2402.89	"(A:0.2109269430,B:0.0143288401,(C:0.2705889359,D:0.0234516469):0.0104482561);"	0.2109269430	0.0143288401	0.2705889359	0.0234516469	0.0104482561	-2401.4416775870	"(A:0.1765419124,C:0.2396732987,(B:0.0173256488,D:0.0303688142):0.0328535578);"	0.1765419124	0.2396732987	0.0173256488	0.0303688142	0.0328535578	-2403.7756820574	"(A:0.2097134851,D:0.0277769407,(B:0.0141136682,C:0.2750153288):0.0063674214);"	0.2097134851	0.0277769407	0.0141136682	0.2750153288	0.0063674214
quartet014_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Scorpionfly.phy	JC+G	-2420.22	"(A:0.2093393307,B:0.0203055632,(C:0.2803112203,D:0.0305181688):0.0062698927);"	0.2093393307	0.0203055632	0.2803112203	0.0305181688	0.0062698927	-2418.6488127663	"(A:0.1792065876,C:0.2514766733,(B:0.0218570630,D:0.0345568359):0.0282875396);"	0.1792065876	0.2514766733	0.0218570630	0.0345568359	0.0282875396	-2419.2596239371	"(A:0.2065164521,D:0.0301555403,(B:0.0158168500,C:0.2808926730):0.0110339597);"	0.2065164521	0.0301555403	0.0158168500	0.2808926730	0.0110339597
quartet015_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Lacewing.phy	JC+G	-2369.45	"(A:0.2127873839,B:0.0128380863,(C:0.2816356700,D:0.0164024948):0.0067159298);"	0.2127873839	0.0128380863	0.2816356700	0.0164024948	0.0067159298	-2367.1297195130	"(A:0.1752772908,C:0.2450639577,(B:0.0146364563,D:0.0208884291):0.0354142323);"	0.1752772908	0.2450639577	0.0146364563	0.0208884291	0.0354142323	-2368.6142193877	"(A:0.2107522299,D:0.0173809683,(B:0.0087525288,C:0.2827063987):0.0097545638);"	0.2107522299	0.0173809683	0.0087525288	0.2827063987	0.0097545638
quartet016_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Antlion.phy	JC+G	-2390.31	"(A:0.2122529730,B:0.0127053199,(C:0.2785907385,D:0.0215998337):0.0084188522);"	0.2122529730	0.0127053199	0.2785907385	0.0215998337	0.0084188522	-2388.1999963314	"(A:0.1747024504,C:0.2436980424,(B:0.0146257918,D:0.0275987388):0.0354531827);"	0.1747024504	0.2436980424	0.0146257918	0.0275987388	0.0354531827	-2390.1169150647	"(A:0.2096209077,D:0.0240692052,(B:0.0092140331,C:0.2821948410):0.0093826692);"	0.2096209077	0.0240692052	0.0092140331	0.2821948410	0.0093826692
quartet017_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Sawfly.phy	JC+G	-2351.48	"(A:0.2062437357,B:0.0150016199,(C:0.2807251751,D:0.0126265861):0.0028126467);"	0.2062437357	0.0150016199	0.2807251751	0.0126265861	0.0028126467	-2348.0295962310	"(A:0.1685382620,C:0.2424539322,(B:0.0159738402,D:0.0141138142):0.0356995582);"	0.1685382620	0.2424539322	0.0159738402	0.0141138142	0.0356995582	-2348.9048701588	"(A:0.2045218090,D:0.0101999077,(B:0.0086929008,C:0.2769982930):0.0114759031);"	0.2045218090	0.0101999077	0.0086929008	0.2769982930	0.0114759031
quartet018_A-Strepsiptera_B-Tenebrio_C-Aedes_D-Polistes.phy	JC+G	-2377.2	"(A:0.2117526311,B:0.0167869629,(C:0.2828503398,D:0.0133302681):0.0112185280);"	0.2117526311	0.0167869629	0.2828503398	0.0133302681	0.0112185280	-2377.0381010016	"(A:0.1803931080,C:0.2516570353,(B:0.0202605281,D:0.0206785323):0.0313751380);"	0.1803931080	0.2516570353	0.0202605281	0.0206785323	0.0313751380	-2377.9345241796	"(A:0.2122999064,D:0.0175219228,(B:0.0138157386,C:0.2840196778):0.0100343966);"	0.2122999064	0.0175219228	0.0138157386	0.2840196778	0.0100343966
quartet019_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Flea.phy	JC+G	-2244.18	"(A:0.2321791165,B:0.0176307185,(C:0.1607656831,D:0.0201926638):0.0109554689);"	0.2321791165	0.0176307185	0.1607656831	0.0201926638	0.0109554689	-2243.4281005167	"(A:0.2068724841,C:0.1342194287,(B:0.0247520180,D:0.0232885396):0.0263989194);"	0.2068724841	0.1342194287	0.0247520180	0.0232885396	0.0263989194	-2245.6354927007	"(A:0.2368247640,D:0.0238136261,(B:0.0250440650,C:0.1632541324):0.0000020340);"	0.2368247640	0.0238136261	0.0250440650	0.1632541324	0.0000020340
quartet020_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Scorpionfly.phy	JC+G	-2248.16	"(A:0.2413936411,B:0.0230456392,(C:0.1590048476,D:0.0168769838):0.0179861036);"	0.2413936411	0.0230456392	0.1590048476	0.0168769838	0.0179861036	-2249.9821386969	"(A:0.2325902876,C:0.1430249259,(B:0.0364393247,D:0.0210927723):0.0163105154);"	0.2325902876	0.1430249259	0.0364393247	0.0210927723	0.0163105154	-2250.5354692796	"(A:0.2521866321,D:0.0214206882,(B:0.0365955951,C:0.1613918850):0.0002285977);"	0.2521866321	0.0214206882	0.0365955951	0.1613918850	0.0002285977
quartet021_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Lacewing.phy	JC+G	-2208.76	"(A:0.2387741024,B:0.0157161827,(C:0.1698372494,D:0.0113612747):0.0091488735);"	0.2387741024	0.0157161827	0.1698372494	0.0113612747	0.0091488735	-2208.1205199303	"(A:0.2118841478,C:0.1405393675,(B:0.0222505640,D:0.0134691709):0.0275091392);"	0.2118841478	0.1405393675	0.0222505640	0.0134691709	0.0275091392	-2210.0749705349	"(A:0.2439340563,D:0.0131508047,(B:0.0220023851,C:0.1710663419):0.0012167459);"	0.2439340563	0.0131508047	0.0220023851	0.1710663419	0.0012167459
quartet022_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Antlion.phy	JC+G	-2229.4	"(A:0.2379744232,B:0.0153683794,(C:0.1672825021,D:0.0160190079):0.0118051646);"	0.2379744232	0.0153683794	0.1672825021	0.0160190079	0.0118051646	-2229.2223489239	"(A:0.2115055399,C:0.1388549277,(B:0.0232893223,D:0.0192802665):0.0278429590);"	0.2115055399	0.1388549277	0.0232893223	0.0192802665	0.0278429590	-2231.3031072098	"(A:0.2438808492,D:0.0197757434,(B:0.0235361701,C:0.1700907254):0.0000021827);"	0.2438808492	0.0197757434	0.0235361701	0.1700907254	0.0000021827
quartet023_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Sawfly.phy	JC+G	-2190.67	"(A:0.2380266010,B:0.0184005579,(C:0.1773214236,D:0.0080678354):0.0043690754);"	0.2380266010	0.0184005579	0.1773214236	0.0080678354	0.0043690754	-2189.6406192076	"(A:0.2121526322,C:0.1499547067,(B:0.0215390893,D:0.0089035013):0.0248053163);"	0.2121526322	0.1499547067	0.0215390893	0.0089035013	0.0248053163	-2190.3761990003	"(A:0.2403226931,D:0.0063621392,(B:0.0190560472,C:0.1750683239):0.0054436153);"	0.2403226931	0.0063621392	0.0190560472	0.1750683239	0.0054436153
quartet024_A-Strepsiptera_B-Tenebrio_C-Drosophila_D-Polistes.phy	JC+G	-2211.32	"(A:0.2375718717,B:0.0203023998,(C:0.1639780062,D:0.0080801988):0.0134834608);"	0.2375718717	0.0203023998	0.1639780062	0.0080801988	0.0134834608	-2212.5760486393	"(A:0.2237417072,C:0.1418851082,(B:0.0307898821,D:0.0108073268):0.0208091512);"	0.2237417072	0.1418851082	0.0307898821	0.0108073268	0.0208091512	-2213.5938861097	"(A:0.2485185296,D:0.0112242553,(B:0.0309101659,C:0.1653217782):0.0000023316);"	0.2485185296	0.0112242553	0.0309101659	0.1653217782	0.0000023316
